verdict,strategy,timeframe,regime,session,n_trades,avg_r,win_rate,expectancy_R,pct_of_fires,low_confidence
KEEP,marubozu,15m,range,ny,354,-0.24585780019859826,0.3107344632768362,-0.07639649158713506,0.10551415797317437,False
KEEP,marubozu,1h,range,asia,64,-0.2484827398255812,0.3125,-0.07765085619549413,0.019076005961251863,False
KEEP,marubozu,15m,high_vol,ny,535,-0.2810073639330253,0.297196261682243,-0.08351433806607668,0.15946348733233978,False
KEEP,marubozu,1h,high_vol,london,30,-0.2863368438266564,0.3,-0.08590105314799693,0.00894187779433681,False
KEEP,marubozu,15m,trend,ny,60,-0.29000000000000026,0.3,-0.08700000000000008,0.01788375558867362,False
KEEP,marubozu,1h,trend,ny,143,-0.3160867392673142,0.2867132867132867,-0.09062626790181735,0.04262295081967213,False
KEEP,marubozu,1h,high_vol,asia,89,-0.3371989065769859,0.2808988764044944,-0.09471879398229942,0.02652757078986587,False
KEEP,marubozu,4h,range,ny,8,-0.7885075301204816,0.125,-0.0985634412650602,0.002384500745156483,True
KEEP,marubozu,15m,range,london,202,-0.3804106828158542,0.26732673267326734,-0.10169394491116895,0.06020864381520119,False
KEEP,marubozu,1h,range,off,9,-0.47819047619047667,0.2222222222222222,-0.10626455026455037,0.002682563338301043,True
KEEP,marubozu,1h,range,ny,149,-0.4543742898814417,0.2348993288590604,-0.10673221574396281,0.04441132637853949,False
KEEP,marubozu,15m,high_vol,london,106,-0.7600050455203847,0.14150943396226415,-0.10754788380005444,0.031594634873323396,False
KEEP,morning_evening_star,1d,range,asia,15,2.3499999999999996,0.9333333333333333,2.193333333333333,0.00022959652237800773,True
KEEP,morning_evening_star,4h,unknown,asia,13,2.411539112671616,0.6923076923076923,1.6695270780034264,0.00019898365272760668,True
KEEP,morning_evening_star,4h,range,asia,366,0.6631086475316443,0.38524590163934425,0.25545988880317444,0.005602155146023388,False
KEEP,morning_evening_star,4h,high_vol,ny,175,0.524296976611015,0.35428571428571426,0.18575092885647387,0.00267862609441009,False
KEEP,morning_evening_star,1h,range,london,1495,0.4205541076053398,0.35919732441471575,0.1510619102234565,0.02288312006367477,False
KEEP,morning_evening_star,4h,trend,london,548,0.4007443894644062,0.32116788321167883,0.12870622727323994,0.008387926284209882,False
KEEP,morning_evening_star,1d,trend,asia,180,0.33609876641798275,0.37222222222222223,0.12510342972224914,0.0027551582685360924,False
KEEP,morning_evening_star,4h,high_vol,asia,256,0.350378211503739,0.30078125,0.10538719642885899,0.003918447315251331,False
KEEP,morning_evening_star,1h,high_vol,ny,1129,0.3087266323466106,0.32860938883968116,0.10145046997395264,0.01728096491765138,False
KEEP,morning_evening_star,1h,range,ny,1932,0.29161943506031546,0.33436853002070394,0.09750836182658582,0.029572032082287394,False
KEEP,morning_evening_star,4h,high_vol,london,270,0.3111291804187362,0.3074074074074074,0.09564341472131521,0.004132737402804139,False
KEEP,morning_evening_star,1d,high_vol,asia,97,0.2541336454764041,0.36082474226804123,0.09169770713066128,0.0014847241780444498,False
KEEP,morning_evening_star,4h,unknown,ny,58,0.26896014225538656,0.3103448275862069,0.08347038897580962,0.0008877732198616298,False
KEEP,morning_evening_star,1h,range,off,309,0.21862107531736882,0.3074433656957929,0.0672135992076053,0.004729688360986959,False
KEEP,morning_evening_star,15m,range,london,7898,0.20290931521564506,0.3237528488224867,0.06569246885368504,0.12089022224943366,False
KEEP,morning_evening_star,15m,unknown,ny,457,0.13270724334607867,0.29978118161925604,0.03978313421972162,0.006995040715116635,False
KEEP,morning_evening_star,4h,trend,ny,501,0.14461989623543783,0.2714570858283433,0.039258095584869354,0.007668523847425458,False
KEEP,morning_evening_star,4h,trend,asia,337,0.14286663401441518,0.258160237388724,0.036882484152089376,0.005158268536092574,False
KEEP,morning_evening_star,15m,range,asia,11576,0.10048301064845588,0.299239806496199,0.030068516662599444,0.17718728953652116,False
KEEP,morning_evening_star,1h,high_vol,asia,1042,0.08436581277474445,0.272552783109405,0.022994137071043592,0.015949305087858936,False
KEEP,morning_evening_star,15m,range,off,2323,0.06407806700889881,0.290572535514421,0.0186193264016387,0.035556848098940795,False
KEEP,morning_evening_star,1h,trend,off,472,0.06336368220736904,0.2733050847457627,0.01731761653548857,0.007224637237494643,False
KEEP,morning_evening_star,15m,high_vol,asia,3078,0.05493563932677237,0.2855750487329435,0.015688247877918424,0.047113206391967186,False
KEEP,morning_evening_star,1h,trend,asia,1643,0.04129606129161151,0.26293365794278756,0.01085812445403297,0.025148472417804445,False
KEEP,morning_evening_star,15m,range,ny,9130,0.03653183994329891,0.28346111719605693,0.010355356163555046,0.1397477499540807,False
KEEP,morning_evening_star,1h,range,asia,1968,0.03410401700995753,0.26778455284552843,0.009132528945247772,0.03012306373599461,False
KEEP,morning_evening_star,1h,high_vol,london,619,0.025126212499437858,0.2617124394184168,0.006575842366573398,0.009474683156799118,False
KEEP,morning_evening_star,1d,unknown,asia,88,0.01821495652485085,0.29545454545454547,0.005381691700524115,0.0013469662646176453,False
KEEP,morning_evening_star,4h,unknown,london,30,-1.0500024715420266,0.0,-0.0,0.00045919304475601546,False
KEEP,morning_evening_star,15m,high_vol,off,742,-0.022376380173359398,0.27088948787061995,-0.006061526165559621,0.011357374640298781,False
KEEP,morning_evening_star,15m,high_vol,ny,6467,-0.029431746724250727,0.26766661512293183,-0.00787789602283563,0.09898671401457172,False
KEEP,morning_evening_star,15m,unknown,off,87,-0.04425179244449458,0.25287356321839083,-0.01119010843424001,0.0013316598297924448,False
KEEP,morning_evening_star,15m,high_vol,london,1015,-0.05886152551532001,0.26108374384236455,-0.015367787449812613,0.015536031347578522,False
KEEP,morning_evening_star,1h,high_vol,off,327,-0.0897493315132366,0.22935779816513763,-0.020584709062668946,0.005005204187840568,False
KEEP,morning_evening_star,1h,trend,ny,1770,-0.09659041783417599,0.23559322033898306,-0.022756047591441463,0.02709238964060491,False
KEEP,morning_evening_star,15m,trend,london,856,-0.09964957345812805,0.25116822429906543,-0.025028806417637304,0.01310230821037164,False
KEEP,morning_evening_star,4h,range,london,285,-0.12369280205437501,0.22105263157894736,-0.027342619401493424,0.0043623339251821465,False
KEEP,morning_evening_star,1h,trend,london,1028,-0.16722501144837107,0.21498054474708173,-0.03595012405650779,0.015735015000306128,False
KEEP,morning_evening_star,4h,range,ny,257,-0.26790903635951396,0.1867704280155642,-0.050037485390103775,0.003933753750076532,False
KEEP,morning_evening_star,1h,unknown,london,93,-0.26506627115486375,0.1935483870967742,-0.05130314925578008,0.0014234984387436478,False
KEEP,morning_evening_star,1h,unknown,ny,200,-0.7675152642971106,0.07,-0.053726068500797745,0.003061286965040103,False
KEEP,morning_evening_star,15m,trend,ny,1614,-0.26593412459134697,0.21065675340768278,-0.056020819306727365,0.02470458580787363,False
KEEP,morning_evening_star,15m,trend,off,389,-0.2981006623788706,0.1953727506426735,-0.058240746377362894,0.005954203147003,False
